ville_depart;ville_arrivee;distance_train;distance_voiture;tarif_peage
Paris;Mantes-la-Jolie;47.2;56.8;4.03
Paris;Saint-Germain-en-Laye;17.8;32.2;2.54
Paris;Saint-Brieuc;407.1;449.6;24.13
Paris;Tarbes;857.3;830.2;44.16
Paris;Alès;660.3;698.5;26.45
Paris;Châlons-en-Champagne;174.2;188.3;16.23
Paris;Bagneux;0.0;8.5;0.0
Paris;Puteaux;4.6;10.9;0.0
Paris;Caluire-et-Cuire;0.0;469.4;21.41
Paris;Bron;0.0;476.8;21.7
Paris;Rezé;346.4;390.4;33.35
Paris;Valenciennes;247.8;207.2;20.79
Paris;Châteauroux;239.8;272.2;7.08
Paris;Garges-lès-Gonesse;11.7;17.3;0.0
Paris;Castres;795.4;704.4;11.51
Paris;Arras;255.4;181.0;15.37
Paris;Melun;40.9;48.9;3.26
Paris;Thionville;307.0;345.1;28.34
Paris;Le Cannet;0.0;906.1;43.21
Paris;Bourg-en-Bresse;363.4;430.9;16.64
Paris;Anglet;0.0;773.5;31.12
Paris;Angoulême;395.5;452.0;14.56
Paris;Boulogne-sur-Mer;230.9;254.4;17.61
Paris;Wattrelos;0.0;234.5;17.52
Paris;Gap;588.0;678.4;29.44
Paris;Villenave-d'Ornon;503.7;590.4;26.41
Paris;Montélimar;548.6;610.6;22.98
Paris;Compiègne;74.7;81.0;3.14
Paris;Stains;0.0;14.0;0.0
Paris;Gagny;18.8;19.6;0.0
Paris;Colomiers;735.6;683.1;15.75
Paris;Poissy;22.2;27.6;2.64
Paris;Draguignan;0.0;870.3;41.41
Paris;Douai;231.5;204.3;17.52
Paris;Le Lamentin;0.0;1998.2;37.34
Paris;Bagnolet;0.0;9.4;0.0
Paris;Marcq-en-Barœul;0.0;224.6;17.52
Paris;Saint-Joseph;0.0;11258.0;30.52
Marseille;Lyon;289.5;313.5;18.43
Marseille;Toulouse;370.0;406.0;31.87
Marseille;Nice;175.2;201.0;15.1
Marseille;Nantes;1007.0;989.2;64.68
Marseille;Montpellier;159.9;170.3;9.01
Marseille;Strasbourg;718.7;804.9;63.78
Marseille;Bordeaux;591.5;647.3;41.37
Marseille;Lille;869.9;1001.6;50.25
Marseille;Rennes;985.5;1029.1;64.35
Marseille;Toulon;54.8;66.2;3.18
Marseille;Reims;881.5;796.4;39.53
Marseille;Saint-Étienne;339.8;314.6;15.49
Marseille;Le Havre;879.5;959.8;51.37
Marseille;Dijon;470.4;502.9;25.46
Marseille;Grenoble;387.2;307.2;23.74
Marseille;Angers;927.8;905.5;63.75
Marseille;Villeurbanne;0.0;317.7;18.43
Marseille;Saint-Denis;694.3;785.8;35.72
Marseille;Nîmes;112.6;123.4;5.5
Marseille;Aix-en-Provence;21.0;33.4;0.17
Marseille;Clermont-Ferrand;458.3;471.6;31.73
Marseille;Le Mans;846.3;890.1;57.18
Marseille;Brest;1209.4;1286.8;64.68
Marseille;Tours;906.0;797.0;54.17
Marseille;Amiens;808.5;930.3;41.33
Marseille;Annecy;388.4;422.6;27.32
Marseille;Limoges;1018.2;693.6;41.63
Marseille;Metz;1004.4;767.6;34.95
Marseille;Boulogne-Billancourt;0.0;775.2;35.72
Marseille;Perpignan;291.1;318.7;27.89
Marseille;Besançon;514.0;567.1;39.67
Marseille;Orléans;799.8;754.2;49.82
Marseille;Rouen;799.6;898.0;42.37
Marseille;Montreuil;0.0;786.1;35.72
Marseille;Caen;865.1;1001.2;55.48
Marseille;Argenteuil;699.4;795.8;38.19
Marseille;Mulhouse;620.7;691.6;60.72
Marseille;Saint-Paul;0.0;11005.5;17.19
Marseille;Nancy;979.6;715.0;34.95
Marseille;Tourcoing;877.2;1011.6;50.25
Marseille;Roubaix;874.8;1009.9;50.25
Marseille;Nanterre;698.1;783.2;35.72
Marseille;Vitry-sur-Seine;697.7;770.2;35.72
Marseille;Créteil;694.8;772.5;35.72
Marseille;Avignon;85.0;94.2;2.33
Marseille;Poitiers;997.9;775.8;40.92
Marseille;Aubervilliers;0.0;781.7;35.72
Marseille;Asnières-sur-Seine;694.2;786.5;35.72
Marseille;Colombes;696.9;786.1;35.72
Marseille;Dunkerque;945.7;1073.7;50.25
Marseille;Aulnay-sous-Bois;701.8;793.9;35.72
Marseille;Saint-Pierre;0.0;10997.9;17.19
Marseille;Versailles;709.6;778.0;35.94
